full_nameyears,sentence,label,sentiment_label,sentiment_score
2006 Arroyo,"sa agosto, pahahabain ito hanggang batangas.",,,
2006 Arroyo,"also build coastal road bacoor, become urban jesse castillo.",,,
2006 Arroyo,"pagdurugtungin natin ang mrt lrt mula monumento hanggang north edsa upang mabuo ang biyahe paikot sa kamaynilaan, maibsan ang trapik.",,,
2006 Arroyo,"construct northrail clark southrail lucena bicol, upgrade link them.",,,
2006 Arroyo,also extend lrt bacoor.,,,
2006 Arroyo,"sa pagbilis ng biyahe patungo palabaas ng metro manila, makakatira ang manggagawa sa mas mura maaliwalas na lalawigan.",,,
2006 Arroyo,maayos na ang kapaligiran sa riles ng tren sa south superhighway.,,,
2006 Arroyo,masaya ang mga pamilyang hinatid namin ni vice president noli de castro sa kanilang bago permanenteng relokasyon.,,,
2006 Arroyo,"teddy boy locsin said hadnt done before, couldnt done all.",,,
2006 Arroyo,"well, teddy ngayon gagawin ito sa maynila, si lito atienza ang bahala.",,,
2006 Arroyo,thank china agreeing fund housing needs.,,,
2006 Arroyo,huwaran ng ating programang pabahay para sa mahihirap ang mga proyekto ng iglesia ni kristo gawad kalinga.,,,
2006 Arroyo,ngunit kapos sa tubig ang mga tagawest zone ng kamaynilaan.,,,
2006 Arroyo,"kaya bibigyan natin ng prayoridad hindi lamang ang edukasyon, kuryente, enerhiya, kalusugan, kundi tubig din.",,,
2006 Arroyo,"setting million liter per day pumping station muntinlupa, las piñas parañaque.",,,
2006 Arroyo,"build rollonrolloff port system link lucena, quezon, boac, marinduque, like batangasmindoro roro.",,,
2006 Arroyo,"sa ganitong mga proyekto, palalakasin natin ang ekonomiya ng mga barangay lalawigan.",,,
2006 Arroyo,"end long oppression barangays rebel terrorists kill without qualms, even own.",,,
2006 Arroyo,"sa mga lalawigang sakop ng division, nakikibaka sa paglaban si jovito palparan.",,,
2006 Arroyo,hindi siya aatras hanggang makawala sa gabi ng kilabot ang mga pamayanan makaahon sa bukangliwayway ng hustisya kalayaan.,,,
2006 Arroyo,harshest possible terms condemn political killings.,,,
2006 Arroyo,together stopped judicial executions abolition death penalty.,,,
2006 Arroyo,urge witnesses come forward.,,,
2006 Arroyo,together stop extrajudicial executions.,,,
2006 Arroyo,central philippines competitive edge tourism natural wonders extraordinary hospitality people.,,,
2006 Arroyo,"area sweeps across palawan romblon, visayas bicol, plus northern mindanao islands camiguin, siargao, dapitan.",,,
2006 Arroyo,"topbilled boracay, cebu, bohol, palawan, attracts half foreign tourists philippines.",,,
2006 Arroyo,"also center geothermal power country, continue develop.",,,
2006 Arroyo,priority tourism investments.,,,
2006 Arroyo,"coming soon superstar boracay instrument landing system kalibo airport billion private investment san jose, romblon, airport, plus good roads spillover destinations panay.",,,
2006 Arroyo,"cebu, gwen garcia constructing worldclass convention center asean east asian summits december.",,,
2006 Arroyo,"helping infrastructure upgrading fall bribery public sector contracts metro cebu, companies today.",,,
2006 Arroyo,"congratulations cardinal vidal shepherding flock metro cebu mayors osmeña, ouano, fernandez, metro cebu representatives del mar, cuenco, gullas, soonruiz.",,,
2006 Arroyo,"bohol became destination distinct cebu since defeated terrorist insurgency community initiatives led power tandem rico aumentado general johnny gomez, ncr commander.",,,
2006 Arroyo,"merits international airport, country deserves worldclass constitution strongly supported governor aumentado league local authorities.",,,
2006 Arroyo,"tourism palawan requires upgrading airports puerto princesa, busuanga, san vicente hometown congressman alvarez thats hes clapping building new one balabac well continuous road backbone el nido bataraza.",,,
2006 Arroyo,lengthen dumaguete runway tourism well electronics.,,,
2006 Arroyo,"valencia, negros oriental, could attract semiconductor firms power rates subsidized geothermal field palimpinon.",,,
2006 Arroyo,negros also advance energy independence ethanol projects san carlos city tamlang valley biofuel law passed.,,,
2006 Arroyo,"done part, migs.",,,
2006 Arroyo,"serve guimaras airport built santa barbara, iloilo, new roro port sibunag.",,,
2006 Arroyo,link sipalay via silay airport funded national government kabankalan airport built local government.,,,
