full_nameyears,sentence,label,sentiment_label,sentiment_score
2021 Duterte,"thank you, congress.",,,
2021 Duterte,sa inyo yun.,,,
2021 Duterte,"ako ang nagpirma pala, ako nagexecute, pakpak rin kayo.",,,
2021 Duterte,"dapat ganoon ang sona, sabihin mo lahat sabihin mo na — really qualms, misgivings somewhere there.",,,
2021 Duterte,transactions streamlined rollout philippine identification system philsys philippine identification system act.,,,
2021 Duterte,"this, hope facilitate better access filipinos even farflung areas.",,,
2021 Duterte,"want say something im taking long, know.",,,
2021 Duterte,also ensured modification salary schedule civilian government personnel salary standardization law — necessary measure civil servants recognize work accomplishments well gesture gratitude good will.,,,
2021 Duterte,"legacy hope pass establishment central business portal, single site businessrelated transactions securing business permits, licenses, clearances.",,,
2021 Duterte,"launched earlier year, shall elevate global standing business arena improve countrys competitiveness.",,,
2021 Duterte,"alam mo ito, yung queuing, mayor — dont know, maybe legislator senator congressman, well really higher others, kung dumaan ka local government employee worker, like me, years, itong queuing matagal ko na ito.",,,
2021 Duterte,"davao, ang passport issuances nandoon sa likod ng sm.",,,
2021 Duterte,"isang gabi nagmotor ako, nakita ko yung mga paa sa semento.",,,
2021 Duterte,"thinking, anong nangyari dito nagbaba ako, sabi ko, bakit dito kayo natutulog sabi nila, you know, mayor, ang pagbukas niyan kailangan nakapila na kami, pag hindi, sunod — ibang araw na naman kami.",,,
2021 Duterte,"called chief office said, look may person supervising, make sure thing happen tomorrow, tomorrow.",,,
2021 Duterte,"tapos tinawagan ko ang — itong ano, sabi ko, why dont give cards kung marami sila paglinya, may maglakad na marshal, o ito, ikaw bukas p.m. study time motion people work.",,,
2021 Duterte,"sabi ko, ayaw ko dito sa davao.",,,
2021 Duterte,"davao — mindanao, nasa davao ang ano eh ang issuances ng passport.",,,
2021 Duterte,"ngayon pagkapresidente ko, sabi ko, ayaw ko nang makita yan.",,,
2021 Duterte,"time, time.",,,
2021 Duterte,maghanap ka ng ibang panahon.,,,
2021 Duterte,ayusin ninyo yan.,,,
2021 Duterte,want people queuing heat sun rain.,,,
2021 Duterte,"kaya sabi ko, di magbigay kayo ng card.",,,
2021 Duterte,"go one window, magkuha kayo kung kailan sila makabalik.",,,
2021 Duterte,"divide — said, study time motion of, know, process of dito nangyari na insisted.",,,
2021 Duterte,"today, queuing, especially national office — statistics office, nakita ko.",,,
2021 Duterte,"talagang sabi ko na, either fix thing resign tomorrow could bear see people.",,,
2021 Duterte,hindi sa panahon ko.,,,
2021 Duterte,"kung hindi ko madala, hindi ko man kayo mapatay, hindi ko kayo mabugbog, ako ang aalis sa gobyerno.",,,
2021 Duterte,"sabi ko, ayusin ninyo yan.",,,
2021 Duterte,hindi ko gustong makita yan.,,,
2021 Duterte,"since , office president issued executive orders, administrative orders, memorandum circulars, memorandum orders , proclamations.",,,
2021 Duterte,issuances integral guideposts government administration development agenda.,,,
2021 Duterte,"office president demonstrated careful stewardship powers, initiating reforms.",,,
2021 Duterte,upgraded improved systems processes ensure provide best service institution presidency offices ultimately filipino people.,,,
2021 Duterte,"promote transparency accountability government, also issued order freedom information opens records, transactions, decisions issuances government agencies.",,,
2021 Duterte,"relation this, also presidential anticorruption commission tasked run corrupt erring government officials bring justice.",,,
2021 Duterte,"alam mo, dont know perhaps come know this.",,,
